suite,mode,rate,seed,model,brier,log_loss,accuracy,f1,auc,blocked_false_positive_rate,affordance_loss_rate,accessible_prediction_variance,ece,reliability_slope,mean_prediction,positive_rate,access_rate
correspondence_stress,handle_slot_swap,0.0,0,interaction_logistic,0.035576423439131234,0.1616535638736463,0.968125,0.7524271844660194,0.857280803705213,0.0,0.0,0.0023037806600585287,0.03893498449596947,0.8075864852699437,0.10474290805799803,0.0659375,0.0803125
correspondence_stress,handle_slot_swap,0.02,0,conserved_quotient,0.028318113124703333,0.1204147846000895,0.968125,0.7524271844660194,0.8690791987683116,0.0,0.0,0.00024414995167145923,0.010445419217080476,1.011554491690738,0.05853615688311462,0.0659375,0.0803125
correspondence_stress,handle_slot_swap,0.05,0,conserved_quotient,0.02835159707174121,0.12049051068514625,0.968125,0.7524271844660194,0.8689539369473218,0.0,0.0,0.0002731979562281489,0.010519721407624633,1.0108077296559006,0.05861045907365879,0.0659375,0.0803125
correspondence_stress,handle_slot_swap,0.1,0,conserved_quotient,0.028418488175949,0.1206869101162803,0.968125,0.7524271844660194,0.8689650360960172,0.0,0.0,0.0003758601155459837,0.010553928506229965,1.0098081750667018,0.058644666172264125,0.0659375,0.0803125
correspondence_stress,handle_slot_swap,0.1,0,interaction_logistic,0.03614583822078123,0.163314449332888,0.9678125,0.7506053268765133,0.858588917658587,0.0003397893306150187,0.0,0.0032975330527817643,0.041684698809075355,0.8058492011857306,0.10626220829390476,0.0659375,0.0803125
correspondence_stress,handle_slot_swap,0.2,0,conserved_quotient,0.028396851470775815,0.12059311755331766,0.968125,0.7524271844660194,0.8690173606541521,0.0,0.0,0.0002985216480983695,0.011057915852069087,1.006748658986746,0.05882440923705748,0.0659375,0.0803125
correspondence_stress,handle_slot_swap,0.3,0,conserved_quotient,0.028444352517465254,0.12075235585157625,0.968125,0.7524271844660194,0.8688778284991255,0.0,0.0,0.0004568562965176985,0.010589267976252089,1.0093519537115005,0.05868000564228624,0.0659375,0.0803125
correspondence_stress,handle_slot_swap,0.3,0,interaction_logistic,0.03623569516488779,0.166203818719046,0.968125,0.7524271844660194,0.859754328271593,0.0,0.0,0.0027203658792102773,0.040336890803338764,0.8126761164070071,0.10565146607461141,0.0659375,0.0803125
correspondence_stress,random_site,0.0,1,conserved_quotient,0.02848989381881516,0.11986370220064956,0.96625,0.7326732673267327,0.8829354171575172,0.0,0.0,9.437056727497456e-33,0.009710465921881156,1.04031610590489,0.057170052261848084,0.06375,0.0875
correspondence_stress,random_site,0.0,1,interaction_logistic,0.028485326879737323,0.11888156327899814,0.9646875,0.712468193384224,0.8896011675698317,0.0,0.055,0.0030164327530598878,0.007857885115983225,1.064897155536109,0.058188922677934025,0.06375,0.0875
correspondence_stress,random_site,0.02,1,conserved_quotient,0.028926082648445286,0.12091188026846683,0.965625,0.7277227722772277,0.8825345558784261,0.0,0.005,0.0025801659657209864,0.009811737381183775,1.0315335931920906,0.05763927302910403,0.06375,0.0875
correspondence_stress,random_site,0.05,1,conserved_quotient,0.029747591247410186,0.12287138476573028,0.9640625,0.7160493827160493,0.881845728945784,0.0,0.015,0.00968847065526347,0.007459150380318087,1.0063812251048063,0.05790938512210213,0.06375,0.0875
correspondence_stress,random_site,0.1,1,conserved_quotient,0.030501744925179576,0.12482335189473105,0.9634375,0.7111111111111111,0.8811192701379618,0.0,0.03,0.012911785270445302,0.009230334264012577,1.00671866092296,0.05831439090572767,0.06375,0.0875
correspondence_stress,random_site,0.1,1,interaction_logistic,0.031056562470309038,0.12607896731703552,0.96125,0.6536312849162011,0.8839563862928349,0.0,0.26,0.017245656908377836,0.012409450857796916,1.1031689134368896,0.05509802529317402,0.06375,0.0875
correspondence_stress,random_site,0.2,1,conserved_quotient,0.03166328983389795,0.12747326447127108,0.961875,0.7009803921568627,0.8808182151365219,0.0,0.055,0.011554944750788654,0.011611842793101285,1.0105518345723825,0.05888904574357487,0.06375,0.0875
correspondence_stress,random_site,0.3,1,conserved_quotient,0.03401465408739247,0.13251930565557582,0.9559375,0.6518518518518519,0.8770566637870101,0.0,0.1,0.010709731200597778,0.008254720169670791,1.0002551795773387,0.05813905534740385,0.06375,0.0875
correspondence_stress,random_site,0.3,1,interaction_logistic,0.03398015184406904,0.135288603604902,0.955,0.6043956043956044,0.8662988559909945,0.0,0.285,0.030028228003659643,0.010941925993206236,1.0702596061607597,0.05458206422506799,0.06375,0.0875
correspondence_stress,handle_slot_swap,0.0,1,conserved_quotient,0.02848989381881516,0.11986370220064956,0.96625,0.7326732673267327,0.8829354171575172,0.0,0.0,9.437056727497456e-33,0.009710465921881156,1.04031610590489,0.057170052261848084,0.06375,0.0875
correspondence_stress,handle_slot_swap,0.0,1,interaction_logistic,0.028485326879737323,0.11888156327899814,0.9646875,0.712468193384224,0.8896011675698317,0.0,0.055,0.0030164327530598878,0.007857885115983225,1.064897155536109,0.058188922677934025,0.06375,0.0875
correspondence_stress,handle_slot_swap,0.02,1,conserved_quotient,0.028541464013480376,0.11999076396465366,0.96625,0.7326732673267327,0.8829256001466007,0.0,0.0,0.00033266137643623683,0.009799510289094534,1.0416243810838017,0.0570810078946347,0.06375,0.0875
correspondence_stress,handle_slot_swap,0.05,1,conserved_quotient,0.0287439023398152,0.12056072487787378,0.96625,0.7326732673267327,0.8826343621560774,0.0,0.0,0.0010162882442838585,0.00989216215991542,1.0433340652297756,0.05698835602381382,0.06375,0.0875
